tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
67305	Streptomyces hawaiiensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1929088	Alcaligenes endophyticus	Alcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
126843	Mesorhizobium chacoense	Mesorhizobium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota		Bacteria			
2014074	Bacillus solitudinis	Bacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
2564099	Ruminococcus bovis	Ruminococcus	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
420403	Shimia litoralis	Shimia	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota		Bacteria			
1888892	Sphingomonas turrisvirgatae	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota		Bacteria			
505251	Marivita litorea	Marivita	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota		Bacteria			
2717600	Neopyrenochaeta thailandica	Neopyrenochaeta	Neopyrenochaetaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			
243148	Umbelopsis dimorpha	Umbelopsis	Umbelopsidaceae	Umbelopsidales	Umbelopsidomycetes	Mucoromycota	Opisthokonta	Eukaryota			
1570	Halobacillus halophilus	Halobacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
676202	Demequina globuliformis	Demequina	Demequinaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1187904	Alternaria burnsii	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			
2333	Propionigenium modestum	Propionigenium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota		Bacteria			
1507735	Stutzerimonas tarimensis	Stutzerimonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota		Bacteria			
1359	Lactococcus cremoris	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
307643	Exiguobacterium profundum	Exiguobacterium		Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
454156	Actinomadura chokoriensis	Actinomadura	Thermomonosporaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
380397	Streptococcus ictaluri	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
189722	Hoylesella marshii	Hoylesella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	FCB group	Bacteria			
106588	Pseudoflavonifractor capillosus	Pseudoflavonifractor	Oscillospiraceae	Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
2866625	Novosphingobium huizhouense	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota		Bacteria			
1660195	Rhodococcus lactis	Rhodococcus	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
45133	Lasiodiplodia theobromae	Lasiodiplodia	Botryosphaeriaceae	Botryosphaeriales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			
324606	Zwartia hollandica	Zwartia	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
433338	Anaerocella delicata	Anaerocella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	FCB group	Bacteria			
201975	Planifilum fimeticola	Planifilum	Thermoactinomycetaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
646	Aeromonas sobria	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota		Bacteria			
2802093	Aliinostoc catenatum	Aliinostoc	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Terrabacteria group	Bacteria			
61460	Knufia perforans	Knufia	Trichomeriaceae	Chaetothyriales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota			
82375	Anaerosinus glycerini	Anaerosinus	Sporomusaceae	Selenomonadales	Negativicutes	Bacillota	Terrabacteria group	Bacteria			
37480	Streptomyces pluricolorescens	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
